date,open,high,low,close,volume
2020-04-29 16:45:00,112.71,113.32,112.5,112.58,19813
2020-04-29 17:00:00,112.78,112.9,112.63,112.79,41211
2020-04-29 17:15:00,112.85,114.7,112.85,114.69,36470
2020-04-29 17:30:00,114.65,114.7,114.3,114.54,12928
2020-04-29 17:45:00,114.68,114.68,113.05,113.39,15258
2020-04-29 18:00:00,113.69,113.7,113.0,113.45,7993
2020-04-29 18:15:00,113.07,113.42,112.92,113.15,3567
2020-04-29 18:30:00,113.16,113.16,112.85,113.0,9196
2020-04-29 18:45:00,113.0,113.3,113.0,113.25,2557
2020-04-29 19:00:00,113.29,113.3,113.1,113.1,2554
2020-04-29 19:15:00,113.2,113.2,112.73,113.01,1412
2020-04-29 19:30:00,113.0,113.1,113.0,113.0,898
2020-04-29 19:45:00,112.88,113.0,112.88,113.0,672
2020-04-29 20:00:00,112.86,113.05,112.75,113.02,6354
2020-04-30 04:15:00,113.06,113.06,113.06,113.06,277
2020-04-30 04:30:00,113.0,113.0,113.0,113.0,100
2020-04-30 04:45:00,113.12,113.24,113.12,113.24,417
2020-04-30 05:15:00,113.01,113.02,112.99,113.02,803
2020-04-30 05:30:00,113.04,113.1,113.04,113.04,1006
2020-04-30 06:00:00,113.33,113.33,113.2,113.2,830
2020-04-30 06:15:00,113.24,113.3,113.24,113.3,463
2020-04-30 06:30:00,113.3,113.3,113.06,113.3,565
2020-04-30 06:45:00,113.07,113.16,113.07,113.16,454
2020-04-30 07:00:00,113.0,113.0,112.52,112.79,3683
2020-04-30 07:15:00,112.98,112.98,112.22,112.33,7136
2020-04-30 07:30:00,112.25,112.31,111.48,111.5,25598
2020-04-30 07:45:00,111.5,112.18,111.5,112.18,13315
2020-04-30 08:00:00,112.19,112.19,111.39,111.39,4812
2020-04-30 08:15:00,111.78,113.0,111.01,112.0,21754
2020-04-30 08:30:00,111.7,111.99,111.3,111.3,9739
2020-04-30 08:45:00,111.7,111.9899,111.12,111.12,8350
2020-04-30 09:00:00,111.2,111.48,110.7,110.7,14597
2020-04-30 09:15:00,111.0,111.0,109.05,110.0,64538
2020-04-30 09:30:00,110.0,110.0,108.74,109.0,101778
2020-04-30 09:45:00,109.44,109.99,107.5,108.3648,2878394
2020-04-30 10:00:00,108.3,110.19,108.3,110.0,1213959
2020-04-30 10:15:00,110.0,110.31,109.33,109.8899,832433
2020-04-30 10:30:00,109.885,109.9956,108.8,109.9734,826934
2020-04-30 10:45:00,109.98,109.9969,108.42,108.4938,623246
2020-04-30 11:00:00,108.5,109.04,108.4412,108.765,482113
2020-04-30 11:15:00,108.78,109.31,108.78,109.23,343263
2020-04-30 11:30:00,109.249,109.498,108.65,109.0444,410404
2020-04-30 11:45:00,109.04,109.33,108.84,108.87,296253
2020-04-30 12:00:00,108.895,108.94,108.4701,108.51,299878
2020-04-30 12:15:00,108.5,108.515,107.88,108.06,477822
2020-04-30 12:30:00,108.05,108.1,107.586,107.7,401899
2020-04-30 12:45:00,107.69,107.69,107.03,107.5099,759342
2020-04-30 13:00:00,107.49,108.05,107.45,107.8007,418846
2020-04-30 13:15:00,107.77,108.2128,107.5504,108.1902,329227
2020-04-30 13:30:00,108.2,108.2,107.72,107.72,423675
2020-04-30 13:45:00,107.72,107.9,107.51,107.64,320729
2020-04-30 14:00:00,107.645,107.67,107.04,107.11,410241
2020-04-30 14:15:00,107.11,107.67,106.86,107.63,583517
2020-04-30 14:30:00,107.62,109.4,107.07,107.35,402533
2020-04-30 14:45:00,107.34,107.7,107.325,107.48,373534
2020-04-30 15:00:00,107.475,107.66,107.3752,107.645,348996
2020-04-30 15:15:00,107.63,107.93,107.4871,107.875,352843
2020-04-30 15:30:00,107.875,108.14,107.79,107.97,375602
2020-04-30 15:45:00,107.97,108.05,107.54,107.79,565686
2020-04-30 16:00:00,107.78,108.5,107.575,108.05,1410196
2020-04-30 16:15:00,108.69,108.69,108.0002,108.0002,786804
2020-04-30 16:30:00,108.1485,108.29,108.0,108.01,44997
2020-04-30 16:45:00,108.05,108.15,107.95,107.95,3820
2020-04-30 17:00:00,107.9498,107.9498,107.6,107.6002,64043
2020-04-30 17:15:00,107.9,107.9,107.9,107.9,130215
2020-04-30 17:30:00,107.79,107.79,107.7498,107.7498,948
2020-04-30 17:45:00,107.68,107.68,107.6,107.6,428
2020-04-30 18:00:00,107.6,107.61,107.6,107.61,3406
2020-04-30 18:15:00,107.5,107.5,107.0,107.25,3708
2020-04-30 18:30:00,107.06,107.06,107.0,107.0,2658
2020-04-30 18:45:00,107.06,107.06,107.06,107.06,329
2020-04-30 19:00:00,106.86,107.25,106.8,107.25,1531
2020-04-30 19:15:00,107.0,107.0,107.0,107.0,373
2020-04-30 19:30:00,107.0,107.0,106.8,106.9,706
2020-04-30 19:45:00,106.66,106.89,106.52,106.52,5437
2020-04-30 20:00:00,106.89,106.89,106.75,106.75,921
2020-05-01 04:15:00,105.95,106.0,105.3,105.3,1070
2020-05-01 04:30:00,105.13,105.13,105.13,105.13,268
2020-05-01 04:45:00,105.2,105.2,105.2,105.2,120
2020-05-01 05:00:00,105.2,105.2,105.2,105.2,100
2020-05-01 06:15:00,105.32,105.32,105.32,105.32,160
2020-05-01 06:30:00,105.32,105.36,105.32,105.36,400
